Unnamed: 0,Owner,Size,Type,Quality,DaysInDeposit,week
238,7,2,DRY,CLASE B-C,1,5
239,7,2,DRY,CLASE B-C,1,5
240,7,2,DRY,CLASE B-C,1,5
241,7,2,DRY,CLASE B-C,1,5
242,7,2,DRY,CLASE B-C,1,5
243,7,2,DRY,CLASE B-C,1,5
244,7,2,DRY,CLASE B-C,1,5
245,7,2,DRY,CLASE B-C,1,5
246,7,2,DRY,CLASE B-C,1,5
247,7,2,DRY,CLASE B-C,1,5
248,7,2,DRY,CLASE B-C,1,5
249,7,2,DRY,CLASE B-C,1,5
250,7,2,DRY,CLASE B-C,1,5
251,7,2,DRY,CLASE B-C,1,5
252,6,2,DRY,CLASE B-C,1,5
253,6,2,DRY,CLASE B-C,1,5
254,1,1,DRY,CLASE D,61,5
255,1,1,DRY,CLASE D,112,5
256,1,1,DRY,CLASE D,81,5
257,1,1,DRY,CLASE B-C,86,5
258,1,1,DRY,CLASE D,81,5
259,1,1,DRY,CLASE B-C,83,5
260,1,1,DRY,CLASE B-C,83,5
261,1,1,DRY,CLASE B-C,83,5
262,7,1,DRY,CLASE D,76,5
263,7,1,DRY,CLASE D,76,5
264,1,1,DRY,CLASE B-C,76,5
265,1,1,DRY,CLASE D,77,5
266,1,1,DRY,CLASE D,77,5
267,1,1,DRY,CLASE B-C,77,5
268,1,1,DRY,CLASE D,77,5
269,1,1,DRY,CLASE B-C,57,5
270,1,1,DRY,CLASE B-C,57,5
271,1,1,DRY,CLASE B-C,58,5
272,1,1,DRY,CLASE B-C,58,5
273,1,1,DRY,CLASE B-C,57,5
274,1,1,DRY,CLASE B-C,58,5
275,1,1,DRY,CLASE B-C,58,5
276,1,1,DRY,CLASE B-C,58,5
277,1,1,DRY,CLASE B-C,58,5
278,1,1,DRY,CLASE B-C,58,5
279,1,1,DRY,CLASE D,57,5
280,1,1,DRY,CLASE B-C,56,5
281,1,1,DRY,CLASE B-C,56,5
282,1,1,DRY,CLASE D,56,5
283,1,1,DRY,CLASE B-C,56,5
284,1,1,DRY,CLASE B-C,55,5
285,1,1,DRY,CLASE D,55,5
286,1,1,DRY,CLASE B-C,54,5
287,4,2,DRY,CLASE B-C,61,5
288,6,2,RF,CLASE B-C,53,5
289,7,2,RF,CLASE B-C,53,5
290,1,2,DRY,CLASE B-C,41,5
291,7,1,DRY,CLASE B-C,39,5
292,6,2,DRY,CLASE B-C,44,5
293,6,2,DRY,CLASE B-C,1,5
294,6,2,DRY,CLASE B-C,1,5
295,6,2,DRY,CLASE B-C,44,5
296,6,2,DRY,CLASE B-C,1,5
297,6,2,DRY,CLASE B-C,44,5
298,6,2,DRY,CLASE B-C,44,5
299,6,2,DRY,CLASE B-C,44,5
300,6,2,DRY,CLASE B-C,44,5
301,6,2,DRY,CLASE B-C,44,5
302,6,2,DRY,CLASE B-C,1,5
303,6,2,RF,CLASE B-C,36,5
304,6,2,DRY,CLASE A,44,5
305,6,2,DRY,CLASE B,1,5
306,6,2,DRY,CLASE B-C,1,5
307,6,2,DRY,CLASE A,44,5
308,6,2,DRY,CLASE B-C,1,5
309,6,2,DRY,CLASE B-C,42,5
310,6,2,DRY,CLASE B-C,1,5
311,6,2,DRY,CLASE B-C,44,5
312,6,2,DRY,CLASE B-C,44,5
313,6,2,DRY,CLASE B-C,44,5
314,6,2,DRY,CLASE B-C,44,5
315,6,2,DRY,CLASE B-C,44,5
316,6,2,DRY,CLASE B-C,44,5
317,7,1,DRY,CLASE B-C,42,5
318,7,1,DRY,INSPECTION,11,5
319,7,1,DRY,CLASE B-C,6,5
320,7,1,DRY,CLASE B-C,6,5
321,7,1,DRY,INSPECTION,37,5
322,7,1,DRY,CLASE D,34,5
323,7,1,DRY,INSPECTION,32,5
324,4,2,RF,CLASE B-C,38,5
325,2,2,DRY,CLASE A,33,5
326,2,2,DRY,INSPECTION,34,5
327,5,2,DRY,INSPECTION,38,5
328,7,1,DRY,CLASE B-C,32,5
329,7,1,DRY,CLASE B-C,32,5
330,7,1,DRY,INSPECTION,32,5
331,7,1,DRY,CLASE D,22,5
332,7,1,DRY,INSPECTION,32,5
333,7,1,DRY,CLASE B-C,32,5
334,6,2,DRY,CLASE B-C,29,5
335,1,2,RF,CLASE B-C,31,5
336,2,2,DRY,CLASE A,29,5
