,Owner,Size,Type,Quality,DaysInDeposit,week
484,2,2,DRY,CLASE B-C,1,11
485,2,2,DRY,CLASE B-C,2,11
486,2,2,DRY,CLASE B-C,6,11
487,4,2,DRY,CLASE B-C,9,11
488,6,2,RF,CLASE B-C,7,11
489,7,2,DRY,CLASE B-C,4,11
490,7,2,DRY,CLASE B-C,4,11
491,7,2,DRY,CLASE B-C,5,11
492,7,2,DRY,CLASE B-C,5,11
493,2,2,DRY,CLASE B-C,4,11
494,2,2,DRY,CLASE B-C,4,11
495,2,2,DRY,CLASE B-C,4,11
496,2,2,DRY,CLASE B-C,4,11
497,2,2,DRY,CLASE B-C,4,11
498,2,2,DRY,CLASE B-C,4,11
499,2,2,DRY,CLASE B-C,4,11
500,2,2,DRY,CLASE B-C,4,11
501,2,2,DRY,CLASE B-C,4,11
502,2,2,DRY,CLASE B-C,4,11
503,3,2,DRY,CLASE B-C,2,11
504,7,2,DRY,CLASE B-C,2,11
505,7,2,DRY,CLASE B-C,1,11
506,7,2,DRY,CLASE B-C,2,11
507,7,2,DRY,CLASE B-C,1,11
508,7,2,DRY,CLASE B-C,1,11
509,7,2,DRY,CLASE B-C,1,11
510,2,2,DRY,INSPECTION,444,11
511,6,2,DRY,CLASE B-C,84,11
512,7,2,DRY,CLASE B-C,79,11
513,3,2,DRY,CLASE B-C,62,11
514,3,2,DRY,CLASE B-C,62,11
515,6,2,DRY,CLASE B-C,64,11
516,2,2,DRY,INSPECTION,67,11
517,2,2,DRY,INSPECTION,65,11
518,6,2,DRY,CLASE B-C,54,11
519,6,2,DRY,CLASE B-C,54,11
520,6,2,DRY,CLASE B-C,69,11
521,6,2,DRY,CLASE B-C,62,11
522,6,2,DRY,CLASE B-C,54,11
523,6,2,DRY,CLASE B-C,64,11
524,6,2,DRY,CLASE B-C,55,11
525,6,2,DRY,CLASE B-C,64,11
526,6,2,DRY,CLASE B-C,64,11
527,6,2,DRY,CLASE B-C,62,11
528,6,2,DRY,CLASE B-C,64,11
529,7,2,DRY,CLASE B-C,60,11
530,4,2,DRY,CLASE B-C,64,11
531,2,2,DRY,INSPECTION,66,11
532,6,2,DRY,CLASE B-C,62,11
533,6,2,DRY,CLASE B-C,62,11
534,6,2,DRY,CLASE B-C,53,11
535,6,2,DRY,CLASE B,52,11
536,6,2,DRY,CLASE B,54,11
537,6,2,DRY,CLASE B-C,52,11
538,6,2,DRY,CLASE B,46,11
539,7,2,DRY,CLASE B-C,48,11
540,7,2,DRY,CLASE A,45,11
541,6,2,DRY,CLASE B-C,49,11
542,6,2,DRY,CLASE B-C,44,11
543,6,2,DRY,CLASE B-C,39,11
544,6,2,DRY,CLASE B-C,39,11
545,6,2,RF,CLASE B-C,42,11
546,6,2,DRY,CLASE B-C,36,11
547,6,2,DRY,CLASE B-C,39,11
548,7,2,DRY,CLASE B-C,40,11
549,9,1,DRY,CLASE B-C,30,11
550,2,2,DRY,INSPECTION,41,11
551,2,2,DRY,INSPECTION,40,11
