,Condition,Owner,Size,Type,Quality,week
356,I,7,2,DRY,INSPECTION,1
357,O,7,2,DRY,CLASE B-C,1
358,O,7,2,DRY,CLASE B-C,1
359,O,7,2,DRY,CLASE B-C,1
360,O,7,2,DRY,CLASE B-C,1
361,O,7,2,DRY,CLASE B-C,1
362,O,7,2,DRY,CLASE B-C,1
363,O,7,2,DRY,CLASE B,1
364,I,7,2,DRY,INSPECTION,1
365,O,7,2,DRY,CLASE B-C,1
366,O,7,2,DRY,CLASE B-C,1
367,O,7,2,DRY,CLASE B-C,1
368,O,7,2,DRY,CLASE B-C,1
369,O,7,2,DRY,CLASE B-C,1
370,O,7,2,DRY,CLASE B-C,1
371,O,7,2,DRY,CLASE B-C,1
372,O,7,2,DRY,CLASE B-C,1
373,O,7,2,DRY,CLASE B-C,1
374,O,7,2,DRY,CLASE B-C,1
375,O,7,2,DRY,CLASE B-C,1
376,D,7,2,DRY,CLASE B-C,1
377,D,7,2,DRY,CLASE B-C,1
378,O,7,2,DRY,CLASE B-C,1
379,O,7,2,DRY,CLASE B-C,1
380,O,7,2,DRY,CLASE B-C,1
381,O,7,2,DRY,CLASE B-C,1
382,O,7,2,DRY,CLASE B-C,1
383,O,7,2,DRY,CLASE B-C,1
384,I,7,2,DRY,CLASE B-C,1
385,O,7,2,DRY,CLASE B-C,1
386,O,7,2,DRY,CLASE B-C,1
387,D,7,1,DRY,CLASE B-C,1
388,O,7,2,DRY,CLASE B-C,1
389,O,7,2,DRY,CLASE B-C,1
390,O,7,2,DRY,CLASE B-C,1
391,O,7,2,DRY,CLASE B-C,1
392,O,7,2,DRY,CLASE B-C,1
393,O,7,2,DRY,CLASE B-C,1
394,O,7,2,DRY,CLASE B-C,1
395,D,7,2,DRY,CLASE B-C,1
396,O,7,2,DRY,CLASE B-C,1
397,O,7,2,DRY,CLASE B-C,1
398,O,7,2,DRY,CLASE B-C,1
399,O,7,2,DRY,CLASE B-C,1
400,O,7,2,DRY,CLASE B-C,1
401,O,7,2,DRY,CLASE B-C,1
402,O,7,2,DRY,CLASE B-C,1
403,O,7,2,DRY,CLASE B-C,1
404,O,7,2,DRY,CLASE B-C,1
405,O,7,2,DRY,CLASE B-C,1
406,O,7,2,DRY,CLASE B-C,1
407,I,7,2,DRY,INSPECTION,1
408,O,7,2,DRY,CLASE B-C,1
409,O,7,2,DRY,CLASE B-C,1
410,O,7,2,DRY,CLASE B-C,1
411,D,7,2,DRY,CLASE B-C,1
412,O,7,2,DRY,CLASE B-C,1
413,O,7,2,DRY,CLASE B-C,1
414,O,7,2,DRY,CLASE B-C,1
415,O,7,2,DRY,CLASE B-C,1
416,O,7,2,DRY,CLASE B-C,1
417,O,7,2,DRY,CLASE B-C,1
418,O,7,2,DRY,CLASE B-C,1
419,O,7,2,DRY,CLASE B-C,1
420,O,7,2,DRY,CLASE B-C,1
421,O,7,2,DRY,CLASE B-C,1
422,O,7,2,DRY,CLASE B-C,1
423,D,7,2,DRY,CLASE B-C,1
424,D,7,2,DRY,CLASE B-C,1
425,O,7,2,DRY,CLASE B-C,1
426,O,7,2,DRY,CLASE B-C,1
427,O,7,2,DRY,CLASE B-C,1
428,O,7,2,DRY,CLASE B-C,1
429,O,7,2,DRY,CLASE B-C,1
430,O,7,2,DRY,CLASE B-C,1
431,O,7,2,DRY,CLASE B-C,1
432,D,7,2,DRY,CLASE B-C,1
433,O,7,2,DRY,CLASE B-C,1
434,O,7,2,DRY,CLASE B-C,1
435,O,7,2,DRY,CLASE B-C,1
436,O,7,2,DRY,CLASE B-C,1
437,O,7,2,DRY,CLASE B-C,1
438,O,7,2,DRY,CLASE A,1
439,O,7,2,DRY,CLASE B,1
440,O,7,2,DRY,CLASE B-C,1
441,O,7,2,DRY,CLASE B-C,1
442,O,7,2,DRY,CLASE B-C,1
443,O,7,2,DRY,CLASE B-C,1
444,O,7,2,DRY,CLASE B-C,1
445,O,7,2,DRY,CLASE B-C,1
446,O,7,2,DRY,CLASE B-C,1
447,O,7,2,DRY,CLASE B-C,1
448,O,7,2,DRY,CLASE B-C,1
449,O,7,2,DRY,CLASE B-C,1
450,O,7,2,DRY,CLASE B-C,1
451,O,7,2,DRY,CLASE B-C,1
452,O,7,2,DRY,CLASE B-C,1
453,O,7,2,DRY,CLASE B-C,1
454,O,7,2,DRY,CLASE B-C,1
455,O,7,2,DRY,CLASE B-C,1
456,O,7,2,DRY,CLASE B-C,1
457,O,7,2,DRY,CLASE B-C,1
458,O,7,2,DRY,CLASE B-C,1
459,O,7,2,DRY,CLASE B-C,1
460,I,7,2,DRY,INSPECTION,1
461,O,7,2,DRY,CLASE B-C,1
462,O,7,2,DRY,CLASE B-C,1
463,O,7,2,DRY,CLASE B-C,1
464,D,7,2,DRY,CLASE B-C,1
465,O,7,2,DRY,CLASE B-C,1
466,I,7,1,DRY,INSPECTION,1
467,D,7,2,DRY,CLASE B-C,1
468,O,7,2,DRY,CLASE B-C,1
469,O,7,2,DRY,CLASE B-C,1
470,O,7,2,DRY,CLASE B-C,1
471,O,7,2,DRY,CLASE B-C,1
472,O,7,2,DRY,CLASE B-C,1
473,O,7,2,DRY,CLASE B-C,1
474,O,7,2,DRY,CLASE B-C,1
475,O,7,2,DRY,CLASE B-C,1
476,O,7,2,DRY,CLASE B-C,1
477,O,7,2,DRY,CLASE B-C,1
478,O,7,2,DRY,CLASE B-C,1
479,O,7,2,DRY,CLASE B-C,1
480,O,7,2,DRY,CLASE B-C,1
481,O,7,2,DRY,CLASE B-C,1
482,I,7,1,DRY,INSPECTION,1
483,O,7,2,DRY,CLASE B-C,1
484,O,7,2,DRY,CLASE B-C,1
485,O,7,2,DRY,CLASE B-C,1
486,O,7,2,DRY,CLASE B-C,1
487,O,7,2,DRY,CLASE B-C,1
488,D,7,2,DRY,CLASE B-C,1
489,O,7,2,DRY,CLASE B-C,1
490,O,7,2,DRY,CLASE B-C,1
491,O,7,2,DRY,CLASE B-C,1
492,O,7,2,DRY,CLASE B-C,1
493,O,7,2,DRY,CLASE B-C,1
494,D,7,2,DRY,CLASE B-C,1
495,O,7,2,DRY,CLASE B-C,1
496,O,7,2,DRY,CLASE B-C,1
497,O,7,2,DRY,CLASE B-C,1
498,O,7,2,DRY,CLASE B-C,1
499,D,7,2,DRY,CLASE B-C,1
500,O,7,2,DRY,CLASE B,1
501,O,7,2,DRY,CLASE B-C,1
502,O,7,2,DRY,CLASE B-C,1
503,O,7,2,DRY,CLASE B-C,1
504,O,7,2,DRY,CLASE B-C,1
505,O,7,2,DRY,CLASE B-C,1
506,O,7,2,DRY,CLASE B-C,1
507,O,7,2,DRY,CLASE B-C,1
508,O,7,2,DRY,CLASE B-C,1
509,O,7,2,DRY,CLASE B-C,1
510,D,7,2,DRY,CLASE B-C,1
511,O,7,2,DRY,CLASE B-C,1
512,O,7,2,DRY,CLASE B-C,1
513,I,7,2,DRY,CLASE B-C,1
514,O,7,2,DRY,CLASE D,1
515,O,7,2,DRY,CLASE B-C,1
516,O,7,2,DRY,CLASE B-C,1
517,O,7,2,DRY,CLASE B-C,1
518,O,7,2,DRY,CLASE B-C,1
519,O,7,2,DRY,CLASE B-C,1
520,D,7,2,DRY,CLASE B-C,1
521,O,7,2,DRY,CLASE B-C,1
522,O,7,2,DRY,CLASE B-C,1
523,O,7,2,DRY,CLASE B-C,1
524,O,7,2,DRY,CLASE B-C,1
525,O,7,2,DRY,CLASE B-C,1
526,O,7,2,DRY,CLASE B-C,1
527,O,7,2,DRY,CLASE B-C,1
528,O,7,2,DRY,CLASE B-C,1
529,O,7,2,DRY,CLASE B-C,1
530,O,7,2,DRY,CLASE B-C,1
531,O,7,2,DRY,CLASE B-C,1
532,O,7,2,DRY,CLASE B-C,1
533,I,7,2,DRY,INSPECTION,1
534,O,7,2,DRY,CLASE B-C,1
535,O,7,2,DRY,CLASE B-C,1
536,O,7,2,DRY,CLASE B-C,1
537,O,7,2,DRY,CLASE B-C,1
538,O,7,2,DRY,CLASE B-C,1
539,O,7,2,DRY,CLASE B-C,1
540,O,7,2,DRY,CLASE B-C,1
541,O,7,2,DRY,CLASE B-C,1
542,D,7,2,DRY,CLASE B-C,1
543,O,7,2,DRY,CLASE B,1
544,O,7,2,DRY,CLASE B-C,1
545,O,6,2,DRY,CLASE B-C,1
546,O,6,2,DRY,CLASE B-C,1
547,I,6,1,DRY,INSPECTION,1
548,I,6,1,DRY,INSPECTION,1
549,O,6,2,DRY,CLASE B-C,1
550,O,6,2,DRY,CLASE B-C,1
551,D,6,2,DRY,CLASE B-C,1
552,D,6,2,DRY,CLASE B-C,1
553,O,6,2,DRY,CLASE B-C,1
554,O,6,2,DRY,CLASE B-C,1
555,O,6,2,DRY,CLASE B-C,1
556,O,6,2,DRY,INSPECTION,1
557,I,6,2,DRY,INSPECTION,1
558,O,6,2,DRY,CLASE B-C,1
559,O,6,2,DRY,CLASE B-C,1
560,O,6,2,DRY,CLASE B-C,1
561,I,6,2,RF,CLASE B-C,1
562,O,6,2,DRY,CLASE B-C,1
563,O,6,2,DRY,CLASE B-C,1
564,O,6,2,DRY,CLASE B-C,1
565,O,6,2,DRY,INSPECTION,1
566,O,6,2,DRY,CLASE B-C,1
567,O,6,2,DRY,INSPECTION,1
568,D,6,2,DRY,CLASE B-C,1
569,O,6,2,DRY,CLASE B-C,1
570,O,6,2,DRY,CLASE B-C,1
571,O,6,2,DRY,CLASE B-C,1
572,O,6,2,DRY,CLASE B-C,1
573,O,6,2,DRY,CLASE B-C,1
574,D,6,2,DRY,CLASE B-C,1
575,D,6,2,DRY,CLASE B-C,1
576,O,6,2,DRY,CLASE B-C,1
577,O,6,2,DRY,CLASE B-C,1
578,O,6,2,DRY,CLASE B-C,1
579,O,6,2,DRY,CLASE B-C,1
580,O,6,2,DRY,CLASE B-C,1
581,O,6,2,DRY,CLASE B-C,1
582,O,6,2,DRY,CLASE B-C,1
583,O,6,2,DRY,CLASE B-C,1
584,O,6,2,DRY,CLASE B-C,1
585,O,6,2,DRY,CLASE B-C,1
586,O,6,2,DRY,CLASE B-C,1
587,O,6,2,DRY,CLASE B-C,1
588,O,6,2,DRY,CLASE B-C,1
589,O,6,2,DRY,CLASE B-C,1
590,O,6,2,DRY,CLASE B-C,1
591,D,6,2,DRY,CLASE B-C,1
592,O,6,2,DRY,INSPECTION,1
593,O,6,2,DRY,CLASE B-C,1
594,O,6,2,DRY,CLASE B-C,1
595,O,6,2,DRY,INSPECTION,1
596,I,6,1,DRY,INSPECTION,1
597,I,6,1,DRY,INSPECTION,1
598,O,6,2,DRY,CLASE A,1
599,D,6,2,DRY,CLASE B-C,1
600,O,6,2,DRY,CLASE B-C,1
601,D,6,2,DRY,CLASE B-C,1
602,D,6,2,DRY,CLASE B-C,1
