Unnamed: 0,Condition,Owner_in,Size_in,Type_in,Quality_in,Owner_out,Size_out,Type_out,Quality_out,DaysInDeposit,week
195,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,16,5
196,O,7,2,DRY,CLASE B,6,2,DRY,CLASE B-C,16,5
197,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,18,5
198,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,9,5
199,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,9,5
200,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,4,5
201,O,7,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,5,5
202,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,4,5
203,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,11,5
204,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,10,5
205,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,10,5
206,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,10,5
207,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,10,5
208,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
209,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
210,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
211,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
212,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
213,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
214,O,7,2,DRY,CLASE D,7,2,DRY,CLASE B-C,1,5
215,D,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
216,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
217,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
218,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
219,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
220,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
221,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,6,5
222,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,6,5
223,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
224,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
225,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,3,5
226,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
227,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
228,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
229,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B,1,5
230,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
231,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
232,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
233,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
234,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
235,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
236,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
237,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
238,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
239,D,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
240,D,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
241,O,7,2,DRY,CLASE D,7,2,DRY,CLASE B-C,1,5
242,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
243,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
244,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
245,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
246,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
247,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
